Ubicación física,Año,Mes,Tipo de cámara,Infracciones Por Mes,Circular a contramano,Cruzar con luz roja,Falta patente trasera o fuera de lugar,Giro indebido,No detenerse en línea de frenado o sobre senda peatonal,No respetar carril establecido,Sin casco y/o chaleco reflectante (moto),Exceso de Velocidad,Estacionamiento indebido,Varias,Facturacion por equipo,cantidad,latitud,longitud
25 de Mayo y Doctor Arturo Melo,2023,marzo,Semáforo,1030,1,464,0,2,562,0,1,0,0,0,36481705,1,-34.707919,-58.394385
29 de Septiembre y Cordero 1 (Norte),2023,marzo,Semáforo,1220,1,550,0,2,665,0,1,0,0,0,43211340,1,-34.734075,-58.390206
29 de Septiembre y Cordero 2 (Sur),2023,marzo,Semáforo,930,1,419,0,2,507,0,1,0,0,0,32939792,1,-34.734072,-58.390201
29 de Septiembre y Esquiú,2023,marzo,Semáforo,1393,1,627,0,2,760,0,1,0,0,0,49338850,1,-34.725397,-58.39024
Av. Pres. Hipólito Yrigoyen y O'Higgins,2023,marzo,Semáforo,1617,2,728,0,3,882,0,2,0,0,0,57272735,1,-34.712783,-58.392619
Av. Pres. Yrigoyen e Int. Manuel Quindimil,2023,marzo,Semáforo,2003,2,902,1,3,1092,1,2,0,0,0,70944520,1,-34.698404,-58.391974
Av. Presidente Bernardino Rivadavia y Av. Remedios de Escalada de San Martín,2023,marzo,Semáforo,841,1,379,0,1,459,0,1,0,0,0,29787489,1,-34.679502,-58.404425
Av. Pte. Hipolito Yrigoyen y Av. Remedios de Escalada de San Martín,2023,marzo,Semáforo,2398,2,1080,1,4,1308,1,2,0,0,0,84935076,1,-34.692033,-58.389379
Av. San Martín y Viamonte (hacia el sur),2023,marzo,Semáforo,1213,1,546,0,2,662,0,1,0,0,0,42963406,1,-34.696084,-58.408063
Gobernador Bernardo de Irigoyen & Avenida Hipólito Yrigoyen,2023,marzo,Semáforo,1396,1,629,0,2,761,0,1,0,0,0,49445107,1,-34.705585,-58.391861
Presidente Raul Alfonsin y General Madariaga,2023,marzo,Semáforo,1667,2,751,0,3,909,0,2,0,0,0,59043691,1,-34.706698,-58.371507
Pte. Alfonsín y Sarmiento,2023,marzo,Semáforo,1227,1,553,0,2,669,0,1,0,0,0,43459274,1,-34.699028,-58.380203
Pte. Yrigoyen y Riobamba,2023,marzo,Semáforo,2409,2,1085,1,4,1314,1,2,0,0,0,85324687,1,-34.702502,-58.391941
Remedios de Escalada y Pte. Perón,2023,marzo,Semáforo,2339,2,1054,1,4,1276,1,2,0,0,0,82845348,1,-34.665027,-58.417688
Avenida Hipolito Yrigoyen 2817 Sent.Asc,2023,marzo,Cinemómetro,822,0,0,0,0,0,0,0,822,0,0,29114526,1,-34.689205,-58.388396
Avenida Hipolito Yrigoyen 2868 Sent.Desc,2023,marzo,Cinemómetro,2026,0,0,0,0,0,0,0,2026,0,0,71759160,1,-34.689631,-58.38838
Avenida Hipolito Yrigoyen 6533 Sent.Asc.,2023,marzo,Cinemómetro,714,0,0,0,0,0,0,0,714,0,0,25289260,1,-34.731173,-58.396677
Avenida Hipolito Yrigoyen 6576 Sent.Desc,2023,marzo,Cinemómetro,851,0,0,0,0,0,0,0,851,0,0,30141681,1,-34.731639,-58.396591
